Data for Site 7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot: 1,,,,,,Plot: 2,,,,,,Plot: 3,,
Date collected,Family,Genus,Species,Weight,,Date collected,Family,Genus,Species,Weight,,Date collected,Species,Weight
01/09/14,Heteromyidae,Dipodomys,merriami,40,,01/08/14,Cricetidae,Neotoma,albigula,-999,,1/8,Dipodomys ordii*,42
01/09/14,Heteromyidae,Dipodomys,merriami,36,,01/08/14,Heteromyidae,Dipodomys,?,44,,2/18,Onychomys torridus,24
01/09/14,Heteromyidae,Dipodomys,spectabilis,135,,01/08/14,Heteromyidae,Dipodomys,unknown,38,,2/18,Onychomys torridus,23
01/09/14,Heteromyidae,Dipodomys,merriami,39,,01/08/14,Cricetidae,Neotoma,albigula,-999,,3/11,Neotoma albigula,232
01/20/14,Heteromyidae,Dipodomys,merriami,43,,01/08/14,Cricetidae,Neotoma,albigula,220,,3/11,Onychomys torridus,22
01/20/14,Heteromyidae,Dipodomys,spectabilis,144,,01/08/14,Heteromyidae,Dipodomys,merriami,38,,3/11,Onychomys torridus,?
03/13/14,Heteromyidae,Dipodomys,merriami,51,,01/08/14,,,merriami,48,,3/11,Dipodomys ordii,?
03/13/14,Heteromyidae,Dipodomys,merriami,44,,01/08/14,,,spectabilis,143,,4/8,Neotoma albigula,
03/13/14,Heteromyidae,Dipodomys,spectabilis,146,,01/08/14,,,merriami,35,,4/8,,
,,,,,,01/08/14,,,ordii,43,,4/8,Neotoma albigula,182
,,,,,,01/08/14,,,ordii,37,,4/8,Dipodomys ordii*,42
,,,,,,01/08/14,,,spectabilis,150,,4/8,Neotoma albigula,115
,,,,,,01/08/14,,,merriami,45,,4/8,Neotoma albigula,190
,,,,,,01/08/14,Cricetidae,Neotoma,albigula,-999,,,,
,,,,,,01/08/14,Heteromyidae,Dipodomys,spectabilis,157,,,,
,,,,,,01/08/14,Heteromyidae,Dipodomys,sp.,-999,,,,
,,,,,,02/18/14,Cricetidae,Neotoma,albigula,218,,,,
,,,,,,02/18/14,Heteromyidae,Dipodomys,spectabilis,127,,,,
,,,,,,02/18/14,Heteromyidae,Dipodomys,merriami,52,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,gray cells indicate the scale wasn't calibrated correctly,,,,,,,
,,,,,,,* indicate uncertainty about the species identification,,,,,,,